,var_name,lr_importance,rf_importance
145,onehotencoder__Model_Alto LXi,37560.28883306822,1.1530330890710243e-05
146,onehotencoder__Model_Alto LXi BSIII,6236.61244345625,6.974982832932587e-06
147,onehotencoder__Model_Alto STD,59427.3377523994,1.4325042994827648e-07
148,onehotencoder__Model_Alto Std,79441.44521255606,4.016403715645398e-07
149,onehotencoder__Model_Amaze Anniversary Edition,227437.13083964962,1.1413818860310987e-06
150,onehotencoder__Model_Amaze E Diesel BSIV,272148.25847393065,4.6651898379478784e-07
151,onehotencoder__Model_Amaze E Option i-DTEC,242781.35997704344,8.499833740857104e-07
152,onehotencoder__Model_Amaze E i-DTEC,280394.7948917212,1.0711857973755453e-05
153,onehotencoder__Model_Amaze E i-Dtech,240331.37510446733,3.0630718488631934e-07
154,onehotencoder__Model_Amaze E i-VTEC,95899.20223026522,2.5777075475755426e-06
155,onehotencoder__Model_Amaze EX i-Vtech,104552.92504603128,5.089776460072709e-07
156,onehotencoder__Model_Amaze S AT i-Vtech,381360.34637311776,7.001524406144195e-06
157,onehotencoder__Model_Amaze S CVT Diesel BSIV,475896.1985137967,1.1117493802357557e-05
158,onehotencoder__Model_Amaze S CVT Petrol BSIV,289343.31924753636,1.9235101794673247e-06
159,onehotencoder__Model_Amaze S CVT i-VTEC,181720.8846130779,2.603368807816121e-05
160,onehotencoder__Model_Amaze S Diesel,324897.0188762405,8.589012693090777e-06
161,onehotencoder__Model_Amaze S Diesel BSIV,5.820766091346741e-10,0.0
162,onehotencoder__Model_Amaze S Option i-DTEC,277357.4855819437,2.4225825466382557e-06
163,onehotencoder__Model_Amaze S Petrol BSIV,220.73827709324542,9.974936150759037e-07
164,onehotencoder__Model_Amaze S i-DTEC,213427.4905663297,1.7330521146556146e-06
165,onehotencoder__Model_Amaze S i-Dtech,284907.95638746687,2.175361668254499e-05
166,onehotencoder__Model_Amaze S i-VTEC,36641.60404446747,4.5538708663570667e-07
167,onehotencoder__Model_Amaze S i-Vtech,121075.39003822231,3.959050921869915e-06
